question,answer
وين تقع محل قشّابيتي؟,المقر متاعنا في خنّيس، ولاية المنستير 🏠
وين موقعكم؟,المقر متاعنا في خنّيس، ولاية المنستير 🏠
كيفاش نعدّي كوموند؟,خلّيلنا طولك ووزنك، رقمك 📞 وعنوانك بالكامل 📍 وتوصلك وين تحب 🚚😉
شنوا المعلومات اللي تحتاجوها باش تعدّيلي كوموند؟,نحتاجو طولك، وزنك، رقم هاتفك، وعنوانك بالكامل باش نوصّلوك 📦
تنجم نحلّ الكولي وتقيس قبل ما نقبلو؟,إيه، تنجم تحلّ الكولي وتقيس كان تحب ✅
بقداش ثمن التوصل؟,ثمن التوصل 8 د 🚚
بقداش ثمن القشّابية دمي؟,سوم القشّابية دمي 159 د، مصنوعة من الصوف الأصلي 100% 🧵. ثمن التوصل 8 د.
شنوا خامة القشّابية دمي؟,القشّابية دمي مصنوعة من الصوف الأصلي 100% 🧵
بقداش ثمن القشّابية المغربية؟,سوم القشّابية المغربية 149 د 💰
بقداش ثمن القشّابية وزرة؟,سوم القشّابية وزرة 149 د. ثمن التوصل 8 د 🚚
بقداش ثمن القشّابية الزمنيّة؟,سوم القشّابية الزمنيّة 260 د، مصنوعة من الصوف الأصلي 100% 🧵. ثمن التوصل 8 د.
عندكم قشّابية للصغار؟,إيه، عندنا القشّابية الزمنيّة للصغار بسوم 69 د. ثمن التوصل 8 د 🚚
بقداش ثمن القشّابية الزمنيّة للأطفال؟,سوم القشّابية الزمنيّة للصغار 69 د 💰. ثمن التوصل 8 د.
بقداش ثمن القشّابية مودارن؟,عندنا موديلين من القشّابية مودارن: واحدة بـ 69 د وواحدة بـ 129 د 💰
بقداش ثمن القشّابية المنقوشة؟,سوم القشّابية المنقوشة 79 د 💰
بقداش ثمن القشّابية زوز آكباش؟,سوم القشّابية زوز آكباش 69 د 💰
بقداش ثمن البرنوس الزمني؟,سوم البرنوس الزمني 380 د 💰
بقداش ثمن الشاشية التونسية؟,سوم الشاشية التونسية 39 د. ثمن التوصل 8 د 💰
كيفاش نعرف المقاس المناسب ليّا؟,خلّيلنا طولك ووزنك وخلّي الباقي علينا 😉
كيفاش نتواصل معاكم؟,تنجم تتواصل معانا على الرقم 📞 55558648، أو تعطينا رقمك وأحنا نتصلوا بيك 📲
شنوا رقم التليفون متاعكم؟,رقمنا 📞 55558648
عندكم موقع إلكتروني؟,إيه، موقعنا 🌐 kachabiti.com تلقى فيه جميع التفاصيل
الكوموند متاعي تأخّرت، شنوا السبب؟,سامحنا، عندنا ضغط كبير برشا في الطلبيات. إن شاء الله توصلك قريب 🙏
شنوا الموديلات المتوفرة عندكم؟,عندنا: القشّابية دمي (159د)، المغربية (149د)، وزرة (149د)، الزمنيّة (260د)، الزمنيّة للصغار (69د)، مودارن (69د أو 129د)، المنقوشة (79د)، زوز آكباش (69د)، البرنوس الزمني (380د)، والشاشية التونسية (39د) 🛍️
شنوا الموديل الي عجبك؟,عندنا برشة موديلات! قشّابية دمي، مغربية، وزرة، زمنيّة، مودارن، منقوشة، زوز آكباش، وبرنوس زمني. شنوا الي يعجبك وأحنا نعطيك كل التفاصيل 😊
تعملوا توصيل لكامل تونس؟,إيه، نوصّلوك وين تحب في تونس 🚚😉. ثمن التوصل 8 د.
